Ukwengeza	u[NPrePre15]-kw[BPre15]-engez[VRoot]-a[VerbTerm]	u_ku_engez_a	NPrePre15_BPre15_VRoot_VerbTerm
kulokhu	ku[LocPre]-lokhu[Dem15][Pos1]	ku_lokhu	LocPre_Dem15_Pos1
,	,[Punc]	i_	Punc
imibandela	i[NPrePre4]-mi[BPre4]-bandela[NStem]	i_mi_bandela	NPrePre4_BPre4_NStem
iyenziwa	i[SC4]-ye[Pres]-enz[VRoot]-iw[PassExt]-a[VerbTerm]	i_ya_enz_iw_a	SC4_Pres_VRoot_PassExt_VerbTerm
ukwakha	u[NPrePre15]-kw[BPre15]-akh[VRoot]-a[VerbTerm]	u_ku_akh_a	NPrePre15_BPre15_VRoot_VerbTerm
amakomiti	a[NPrePre6]-ma[BPre6]-komiti[NStem]	a_ma_komiti	NPrePre6_BPre6_NStem
amawadi	a[NPrePre6]-ma[BPre6]-wadi[NStem]	a_a_ma_wadi	NPrePre6_BPre6_NStem
,	,[Punc]	i_	Punc
njengezinhlangano	njenga[AdvPre]-i[NPrePre10]-zin[BPre10]-hlangano[NStem]	njenga_i_zin_hlangano	AdvPre_NPrePre10_BPre10_NStem
ezelulekayo	ezi[RelConc10]-lulek[VRoot]-a[VerbTerm]-yo[RelSuf]	ezi_elul_ek_a_yo	RelConc10_VRoot_VerbTerm_RelSuf
,	,[Punc]	i_	Punc
lawa	lawa[Dem6][Pos2]	la_w_a	Dem6_Pos2
maqembu	ma[BPre6]-qembu[NStem]	ma_qembu	BPre6_NStem
ahlanganisa	a[SC6]-hlangan[VRoot]-is[CausExt]-a[VerbTerm]	a_hlangan_is_a	SC6_VRoot_CausExt_VerbTerm
abamele	aba[RelConc2]-mel[VRoot]-e[VerbTerm]	aba_mel_e	RelConc2_VRoot_VerbTerm
umasipala	u[BPre1a]-masipala[NStem]	u_masila	BPre1a_NStem
kanye	ka[AdvPre]-nye[AdjStem]	ka_nye	AdvPre_AdjStem
nomphakathi	no[AdvPre]-u[NPrePre3]-mu[BPre3]-phakathi[NStem]	na_u_mu_phakathi	AdvPre_NPrePre3_BPre3_NStem
ukuba	ukuba[Conj]	u_ku_b_a	Conj
badlulise	ba[SC2a]-dlul[VRoot]-is[CausExt]-e[VerbTerm]	ba_dlul_is_e	SC2a_VRoot_CausExt_VerbTerm
izidingo	i[NPrePre8]-zi[BPre8]-dingo[NStem]	i_zi_dingo	NPrePre8_BPre8_NStem
zomphakathi	zo[PossConc10]-u[NPrePre3]-mu[BPre3]-phakathi[NStem]	za_u_mu_phakathi	PossConc10_NPrePre3_BPre3_NStem
kanye	ka[AdvPre]-nye[AdjStem]	ka_nye	AdvPre_AdjStem
neziphakamiso	ne[AdvPre]-i[NPrePre8]-zi[BPre8]-phakamiso[NStem]	na_i_zi_phakamiso	AdvPre_NPrePre8_BPre8_NStem
ziye	zi[SC8]-y[VRoot]-e[VerbTerm]	zi_y_e	SC8_VRoot_VerbTerm
kumkhandlu	ku[LocPre]-m[BPre1]-khandlu[NStem]	ku_u_mu_khandlu	LocPre_BPre1_NStem
.	.[Punc]	e	Punc
Indlela	i[NPrePre9]-n[BPre9]-dlela[NStem]	i_n_dlela	NPrePre9_BPre9_NStem
esebenza	e[RelConc9]-sebenz[VRoot]-a[VerbTerm]	e_sebenz_a	RelConc9_VRoot_VerbTerm
ngakubili	ngaku[AdvPre]-bili[AdjStem]	nga_ku_bili	AdvPre_AdjStem
yewadi	ya[PossConc4]-i[NPrePre5]-wadi[NStem]	y_iwadi	PossConc4_NPrePre5_NStem
kanye	ka[AdvPre]-nye[AdjStem]	ka_nye	AdvPre_AdjStem
nokumela	no[CopPre]-ku[SC15]-mel[Intrans]-a[VerbTerm]	na_u_ku_mu_el_a	CopPre_SC15_Intrans_VerbTerm
ngokulingana	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-lingana[NStem]	nga_u_ku_ling_an_a	AdvPre_NPrePre15_BPre15_NStem
kusho	ku[LocPre]-sho[NStem]	ku_sh_o	LocPre_NStem
ukuthi	u[NPrePre15]-ku[BPre15]-th[VRoot]-i[VerbTerm]	u_ku_th_i	NPrePre15_BPre15_VRoot_VerbTerm
imiphakathi	i[NPrePre4]-mi[BPre4]-phakathi[NStem]	i_mi_phakathi	NPrePre4_BPre4_NStem
ikhethe	i[SC4]-kheth[VRoot]-e[VerbTerm]	i_kheth_e	SC4_VRoot_VerbTerm
ngqo	ngqo[Ideoph]	ngqo	Ideoph
abayimele	aba[RelConc2]-yi[CopPre]-mel[VRoot]-e[VerbTerm]	aba_yi_m_el_e	RelConc2_CopPre_VRoot_VerbTerm
abanesibopho	aba[RelConc2]-ne[CopPre]-si[BPre7]-bopho[NStem]	aba_na_i_si_bopho	RelConc2_CopPre_BPre7_NStem
kubo	ku[LocPre]-bo[PronStem2]	ku_bo	LocPre_PronStem2
ukuba	ukuba[Conj]	u_ku_b_a	Conj
badlulise	ba[SC2a]-dlul[VRoot]-is[CausExt]-e[VerbTerm]	ba_dlul_is_e	SC2a_VRoot_CausExt_VerbTerm
futhi	futhi[Conj]	futh_i	Conj
babike	ba[SC2]-bik[VRoot]-e[VerbTerm]	ba_bik_e	SC2_VRoot_VerbTerm
ukukhathazeka	u[NPrePre15]-ku[BPre15]-khathaz[VRoot]-ek[NeutExt]-a[VerbTerm]	u_ku_khathaz_ek_a	NPrePre15_BPre15_VRoot_NeutExt_VerbTerm
kwabo	kwa[PossConc15]-bo[PronStem2]	kwa_bo	PossConc15_PronStem2
.	.[Punc]	e	Punc
Chaza	chaz[VRoot]-a[VerbTerm]	chaz_a	VRoot_VerbTerm
