morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
Ku_kho	CopPre_Adv	PUNC_PUNC	CopPre_Adv	LocPre_PronStem2
i_in_tlobo	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NPrePre9_BPre9_NStem
ezi_ninzi	AdjPref8_AdjStem	NStem_NStem	AdjPref8_AdjStem	AdjPref10_AdjStem
zo_lawulo	PossConc10_NPrePre11_BPre11_NStem	NStem_NStem	PossConc10_NPrePre11_BPre11_NStem	BPre2a_NStem
lwe_e_projekthi	PossConc11_NPrePre10_BPre10_NStem	NStem_NStem_VRoot	PossConc11_NPrePre10_BPre10_NStem	PossConc11_LocPre_NStem
ezi_setyenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot_VRoot	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf
kw_i_candelo	LocPre_NPrePre5_BPre5_NStem	NStem_NStem_NStem	LocPre_NPrePre5_BPre5_NStem	PossConc15_NPrePre4_NStem
lo_phuhliso	PossConc5_NPrePre11_BPre11_NStem	NStem_NStem	PossConc5_NPrePre11_BPre11_NStem	RelConc3_NStem
.	Punc	PUNC	Punc	PUNC
Ezi	Dem10_Pos1	PUNC	Dem10_Pos1	CDEM07
n_tlobo	BPre9_NStem	NStem_NStem	BPre9_NStem	BPre9_NStem
ke	Conj	PUNC	Conj	Adv
zi_kholis_a	SC10_VRoot_VerbTerm	NStem_NStem_NStem	SC10_VRoot_VerbTerm	SC2_VRoot_VerbTerm
u_kw_ahluk_a	NPrePre15_SC15_Intrans_VerbTerm	NStem_NStem_NStem_NStem	NPrePre15_SC15_Intrans_VerbTerm	SC2ps_OC15_VRoot_VerbTerm
kw_ezo	PossConc15_Dem10_Pos2	NStem_NStem	PossConc15_Dem10_Pos2	PossConc15_NStem
zi_setyenz_is_w_a	SC10_VRoot_CausExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	SC10_VRoot_CausExt_PassExt_VerbTerm	SC7_VRoot_CausExt_PassExt_VerbTerm
